english_name,indonesian_name,is_dangerous
Hydrogenated Oxide,Hydrogenated Oksida,False
Magnesium Chloride,Magnesium Klorida,False
Hydrogenated Silicate,Hydrogenated Silicate,False
Ethyl Palmitate,Ethyl Palmitate,False
Potassium Chloride,Kalium Klorida,False
Acrylate Stearate,Acrylate Stearate,False
Isopropyl Carbonate,Isopropyl Karbonat,False
Potassium Stearate Complex,Kalium Stearate Complex,False
Hydroxy Sulfate,Hydroxy Sulfat,False
Butyl Benzoate,Butyl Benzoat,False
Isopropyl Glutamate Blend,Isopropyl Glutamate Blend,False
Ethyl Glutamate,Ethyl Glutamate,False
Acrylate Chloride Compound,Acrylate Klorida Compound,False
Calcium Sulfate,Kalsium Sulfat,False
Magnesium Phosphate Complex,Magnesium Fosfat Complex,False
Potassium Glutamate,Kalium Glutamate,False
Hydrogenated Glycol Complex,Hydrogenated Glycol Complex,False
Hydrogenated Benzoate,Hydrogenated Benzoat,False
Acrylate Carbonate,Acrylate Karbonat,False
Acrylate Citrate,Acrylate Sitrat,False
Hydrogenated Oxide,Hydrogenated Oksida,False
Potassium Phosphate Derivative,Kalium Fosfat Derivative,False
Ethyl Glycol Copolymer,Ethyl Glycol Copolymer,False
Propyl Oxide,Propyl Oksida,False
PPG Glutamate,PPG Glutamate,False
Hydroxy Glutamate,Hydroxy Glutamate,False
Poly Lactate,Poly Lactate,False
Isopropyl Sulfate,Isopropyl Sulfat,False
Poly Glutamate Solution,Poly Glutamate Solution,False
Isopropyl Phosphate Blend,Isopropyl Fosfat Blend,False
Sodium Silicate Derivative,Natrium Silicate Derivative,False
Propyl Laurate Complex,Propyl Laurate Complex,False
Ethyl Silicate Copolymer,Ethyl Silicate Copolymer,False
Magnesium Sulfate,Magnesium Sulfat,False
Poly Oxide,Poly Oksida,False
PPG Chloride,PPG Klorida,False
Magnesium Laurate,Magnesium Laurate,False
Magnesium Glutamate,Magnesium Glutamate,False
Potassium Chloride Blend,Kalium Klorida Blend,False
Propyl Chloride Compound,Propyl Klorida Compound,False
Ethyl Palmitate,Ethyl Palmitate,False
Acrylate Stearate,Acrylate Stearate,False
Butyl Phosphate,Butyl Fosfat,False
Magnesium Stearate,Magnesium Stearate,False
Isopropyl Oxide,Isopropyl Oksida,False
Propyl Lactate,Propyl Lactate,False
Magnesium Glutamate Compound,Magnesium Glutamate Compound,False
Hydroxy Silicate,Hydroxy Silicate,False
Acrylate Laurate,Acrylate Laurate,False
PPG Glycol Complex,PPG Glycol Complex,False
Magnesium Stearate Compound,Magnesium Stearate Compound,False
PEG Benzoate,PEG Benzoat,False
Butyl Benzoate,Butyl Benzoat,False
Poly Citrate,Poly Sitrat,False
Hydrogenated Benzoate,Hydrogenated Benzoat,False
Isopropyl Oxide,Isopropyl Oksida,False
Propyl Lactate,Propyl Lactate,False
PPG Benzoate,PPG Benzoat,False
Hydroxy Glutamate Compound,Hydroxy Glutamate Compound,False
Potassium Carbonate,Kalium Karbonat,False
Butyl Glycol,Butyl Glycol,False
Sodium Silicate Copolymer,Natrium Silicate Copolymer,False
Acrylate Palmitate Oil,Acrylate Palmitate Minyak,False
Ethyl Sulfate,Ethyl Sulfat,False
Butyl Citrate Solution,Butyl Sitrat Solution,False
Magnesium Benzoate Copolymer,Magnesium Benzoat Copolymer,False
Calcium Glutamate Oil,Kalsium Glutamate Minyak,False
Butyl Laurate Solution,Butyl Laurate Solution,False
PEG Chloride,PEG Klorida,False
Poly Silicate Solution,Poly Silicate Solution,False
Ethyl Citrate,Ethyl Sitrat,False
Hydrogenated Sulfate,Hydrogenated Sulfat,False
Acrylate Oxide Complex,Acrylate Oksida Complex,False
Sodium Chloride Compound,Natrium Klorida Compound,False
Propyl Stearate,Propyl Stearate,False
Ethyl Carbonate,Ethyl Karbonat,False
Acrylate Silicate,Acrylate Silicate,False
PEG Glutamate,PEG Glutamate,False
Potassium Lactate,Kalium Lactate,False
Potassium Glycol Extract,Kalium Glycol Ekstrak,False
Hydroxy Oxide Derivative,Hydroxy Oksida Derivative,False
Propyl Stearate,Propyl Stearate,False
Acrylate Oxide,Acrylate Oksida,False
Hydroxy Lactate,Hydroxy Lactate,False
Ethyl Benzoate Extract,Ethyl Benzoat Ekstrak,False
Acrylate Phosphate Oil,Acrylate Fosfat Minyak,False
Poly Glycol,Poly Glycol,False
Magnesium Phosphate Solution,Magnesium Fosfat Solution,False
Isopropyl Sulfate Oil,Isopropyl Sulfat Minyak,False
Magnesium Phosphate,Magnesium Fosfat,False
Poly Oxide,Poly Oksida,False
Propyl Laurate,Propyl Laurate,False
PPG Laurate,PPG Laurate,False
Acrylate Laurate Extract,Acrylate Laurate Ekstrak,False
Magnesium Glycol Extract,Magnesium Glycol Ekstrak,False
Propyl Lactate,Propyl Lactate,False
Butyl Glycol,Butyl Glycol,False
Calcium Citrate Extract,Kalsium Sitrat Ekstrak,False
Magnesium Stearate,Magnesium Stearate,False
Sodium Stearate,Natrium Stearate,False
PEG Chloride Oil,PEG Klorida Minyak,False
Sodium Glutamate Solution,Natrium Glutamate Solution,False
Ethyl Benzoate,Ethyl Benzoat,False
Isopropyl Carbonate,Isopropyl Karbonat,False
Hydrogenated Benzoate,Hydrogenated Benzoat,False
Magnesium Glycol,Magnesium Glycol,False
Calcium Glycol,Kalsium Glycol,False
Calcium Glycol,Kalsium Glycol,False
Calcium Silicate,Kalsium Silicate,False
Calcium Citrate,Kalsium Sitrat,False
Isopropyl Palmitate,Isopropyl Palmitate,False
Calcium Benzoate Solution,Kalsium Benzoat Solution,False
Magnesium Carbonate,Magnesium Karbonat,False
Magnesium Sulfate,Magnesium Sulfat,False
Acrylate Oxide,Acrylate Oksida,False
Butyl Benzoate,Butyl Benzoat,False
Magnesium Benzoate Solution,Magnesium Benzoat Solution,False
Propyl Phosphate Compound,Propyl Fosfat Compound,False
Potassium Sulfate Extract,Kalium Sulfat Ekstrak,False
Calcium Carbonate,Kalsium Karbonat,False
Propyl Palmitate Compound,Propyl Palmitate Compound,False
Hydroxy Phosphate,Hydroxy Fosfat,False
Acrylate Sulfate,Acrylate Sulfat,False
Calcium Sulfate,Kalsium Sulfat,False
Magnesium Phosphate Compound,Magnesium Fosfat Compound,False
Propyl Citrate,Propyl Sitrat,False
Acrylate Citrate,Acrylate Sitrat,False
Sodium Phosphate Solution,Natrium Fosfat Solution,False
Sodium Palmitate Copolymer,Natrium Palmitate Copolymer,False
Poly Glutamate Complex,Poly Glutamate Complex,False
PEG Oxide Solution,PEG Oksida Solution,False
Ethyl Glutamate Complex,Ethyl Glutamate Complex,False
Isopropyl Lactate Oil,Isopropyl Lactate Minyak,False
Ethyl Benzoate,Ethyl Benzoat,False
Isopropyl Chloride,Isopropyl Klorida,False
PPG Glycol,PPG Glycol,False
Sodium Glycol,Natrium Glycol,False
Butyl Oxide,Butyl Oksida,False
Potassium Laurate,Kalium Laurate,False
Propyl Glutamate,Propyl Glutamate,False
Ethyl Chloride,Ethyl Klorida,False
Butyl Phosphate,Butyl Fosfat,False
Propyl Stearate Solution,Propyl Stearate Solution,False
Sodium Sulfate,Natrium Sulfat,False
Propyl Silicate Complex,Propyl Silicate Complex,False
Ethyl Glutamate Copolymer,Ethyl Glutamate Copolymer,False
Potassium Phosphate,Kalium Fosfat,False
Butyl Benzoate Compound,Butyl Benzoat Compound,False
Magnesium Carbonate,Magnesium Karbonat,False
PPG Silicate,PPG Silicate,False
Butyl Carbonate,Butyl Karbonat,False
Sodium Laurate,Natrium Laurate,False
Hydroxy Oxide,Hydroxy Oksida,False
Propyl Glutamate,Propyl Glutamate,False
Calcium Palmitate,Kalsium Palmitate,False
Butyl Laurate,Butyl Laurate,False
Propyl Benzoate,Propyl Benzoat,False
Calcium Stearate,Kalsium Stearate,False
Calcium Sulfate Oil,Kalsium Sulfat Minyak,False
Calcium Phosphate Solution,Kalsium Fosfat Solution,False
Isopropyl Glutamate,Isopropyl Glutamate,False
Hydroxy Phosphate,Hydroxy Fosfat,False
Hydrogenated Carbonate Derivative,Hydrogenated Karbonat Derivative,False
Isopropyl Chloride Complex,Isopropyl Klorida Complex,False
Ethyl Oxide,Ethyl Oksida,False
Propyl Phosphate Compound,Propyl Fosfat Compound,False
Sodium Benzoate,Natrium Benzoat,False
Isopropyl Stearate Compound,Isopropyl Stearate Compound,False
Magnesium Benzoate,Magnesium Benzoat,False
Propyl Sulfate Oil,Propyl Sulfat Minyak,False
Propyl Glycol,Propyl Glycol,False
Ethyl Oxide Compound,Ethyl Oksida Compound,False
PEG Silicate,PEG Silicate,False
Calcium Laurate Oil,Kalsium Laurate Minyak,False
Hydroxy Carbonate Extract,Hydroxy Karbonat Ekstrak,False
PPG Palmitate,PPG Palmitate,False
PEG Phosphate,PEG Fosfat,False
Calcium Benzoate Compound,Kalsium Benzoat Compound,False
Poly Laurate,Poly Laurate,False
Sodium Carbonate Copolymer,Natrium Karbonat Copolymer,False
Acrylate Sulfate Extract,Acrylate Sulfat Ekstrak,False
Hydroxy Glutamate,Hydroxy Glutamate,False
PPG Chloride,PPG Klorida,False
PPG Phosphate,PPG Fosfat,False
Ethyl Lactate,Ethyl Lactate,False
PEG Benzoate Blend,PEG Benzoat Blend,False
Hydrogenated Silicate,Hydrogenated Silicate,False
Butyl Oxide Copolymer,Butyl Oksida Copolymer,False
Ethyl Carbonate,Ethyl Karbonat,False
Butyl Citrate,Butyl Sitrat,False
Hydroxy Phosphate,Hydroxy Fosfat,False
Acrylate Citrate Copolymer,Acrylate Sitrat Copolymer,False
Calcium Carbonate,Kalsium Karbonat,False
PEG Sulfate Blend,PEG Sulfat Blend,False
Calcium Laurate Oil,Kalsium Laurate Minyak,False
Magnesium Lactate,Magnesium Lactate,False
Hydrogenated Lactate Complex,Hydrogenated Lactate Complex,False
Calcium Benzoate Copolymer,Kalsium Benzoat Copolymer,False
Butyl Silicate,Butyl Silicate,False
PEG Carbonate,PEG Karbonat,False
Ethyl Stearate,Ethyl Stearate,False
Magnesium Palmitate Compound,Magnesium Palmitate Compound,False
PPG Laurate,PPG Laurate,False
Propyl Benzoate Compound,Propyl Benzoat Compound,False
Hydrogenated Chloride,Hydrogenated Klorida,False
Butyl Glycol Copolymer,Butyl Glycol Copolymer,False
Calcium Citrate,Kalsium Sitrat,False
Potassium Benzoate,Kalium Benzoat,False
Sodium Laurate Extract,Natrium Laurate Ekstrak,False
Acrylate Palmitate Solution,Acrylate Palmitate Solution,False
Hydroxy Benzoate,Hydroxy Benzoat,False
PPG Stearate,PPG Stearate,False
Hydroxy Glycol,Hydroxy Glycol,False
Hydrogenated Sulfate,Hydrogenated Sulfat,False
Magnesium Glutamate,Magnesium Glutamate,False
Butyl Citrate Blend,Butyl Sitrat Blend,False
Calcium Palmitate,Kalsium Palmitate,False
Calcium Oxide Oil,Kalsium Oksida Minyak,False
Hydrogenated Oxide,Hydrogenated Oksida,False
Sodium Benzoate,Natrium Benzoat,False
Calcium Palmitate Oil,Kalsium Palmitate Minyak,False
PEG Chloride Derivative,PEG Klorida Derivative,False
Butyl Lactate Blend,Butyl Lactate Blend,False
Potassium Carbonate,Kalium Karbonat,False
Acrylate Silicate,Acrylate Silicate,False
Isopropyl Palmitate Derivative,Isopropyl Palmitate Derivative,False
Isopropyl Stearate,Isopropyl Stearate,False
Ethyl Palmitate,Ethyl Palmitate,False
Poly Chloride,Poly Klorida,False
Potassium Lactate,Kalium Lactate,False
Hydrogenated Sulfate,Hydrogenated Sulfat,False
Hydrogenated Chloride,Hydrogenated Klorida,False
Isopropyl Laurate,Isopropyl Laurate,False
Magnesium Silicate,Magnesium Silicate,False
Acrylate Laurate Complex,Acrylate Laurate Complex,False
Isopropyl Glutamate Compound,Isopropyl Glutamate Compound,False
Butyl Sulfate Blend,Butyl Sulfat Blend,False
Propyl Phosphate,Propyl Fosfat,False
PEG Citrate Extract,PEG Sitrat Ekstrak,False
Propyl Citrate,Propyl Sitrat,False
Isopropyl Stearate,Isopropyl Stearate,False
Ethyl Citrate,Ethyl Sitrat,False
PEG Sulfate,PEG Sulfat,False
Calcium Benzoate,Kalsium Benzoat,False
Hydrogenated Oxide,Hydrogenated Oksida,False
Acrylate Benzoate Extract,Acrylate Benzoat Ekstrak,False
Potassium Glycol,Kalium Glycol,False
Hydrogenated Silicate Copolymer,Hydrogenated Silicate Copolymer,False
Poly Lactate Solution,Poly Lactate Solution,False
Sodium Laurate Complex,Natrium Laurate Complex,False
Poly Lactate,Poly Lactate,False
Ethyl Silicate,Ethyl Silicate,False
Ethyl Lactate Blend,Ethyl Lactate Blend,False
Ethyl Silicate,Ethyl Silicate,False
Ethyl Chloride Derivative,Ethyl Klorida Derivative,False
Ethyl Laurate Blend,Ethyl Laurate Blend,False
Isopropyl Glutamate Extract,Isopropyl Glutamate Ekstrak,False
Poly Sulfate Copolymer,Poly Sulfat Copolymer,False
Calcium Citrate,Kalsium Sitrat,False
PPG Lactate Compound,PPG Lactate Compound,False
Isopropyl Carbonate,Isopropyl Karbonat,False
PPG Silicate Compound,PPG Silicate Compound,False
Poly Benzoate,Poly Benzoat,False
Hydrogenated Benzoate,Hydrogenated Benzoat,False
Potassium Palmitate,Kalium Palmitate,False
Poly Glycol,Poly Glycol,False
Propyl Benzoate,Propyl Benzoat,False
Propyl Benzoate,Propyl Benzoat,False
Butyl Benzoate,Butyl Benzoat,False
Ethyl Benzoate,Ethyl Benzoat,False
Isopropyl Oxide,Isopropyl Oksida,False
Hydrogenated Silicate,Hydrogenated Silicate,False
Sodium Glutamate,Natrium Glutamate,False
PPG Benzoate,PPG Benzoat,False
Ethyl Carbonate,Ethyl Karbonat,False
Propyl Chloride,Propyl Klorida,False
Sodium Benzoate,Natrium Benzoat,False
Sodium Sulfate,Natrium Sulfat,False
PPG Laurate,PPG Laurate,False
Isopropyl Stearate Blend,Isopropyl Stearate Blend,False
